id;f_0;f_1;f_2;f_3;f_4;f_5;f_6;f_7;f_8;f_9
a3d2a3503b2642cd98bf944011c0618c;F;0.605;0.475;1450.0;1.0185;0.4695;0.225;0.27;SHORT;1.966875
3470af0818e446548358b44325a06183;I;0.42;0.305;1000.0;0.3415;0.1645;0.0775;0.086;SHORT;0.8520125
12049369dc15428782c176d12753858f;M;0.385;0.295;950.0;0.335;0.147;0.094;0.09;SHORT;0.787672
db373ce289b64bd5996b6cff705fb94b;I;0.45;0.355;1150.0;0.4385;0.184;0.108;0.1125;SHORT;1.846656
1ce38ecf0543456295c2a28718c67ee9;F;0.67;0.505;2050.0;1.45;0.6075;0.3025;0.353;SHORT;3.046025
f6f67064cb44470eaa36d1d1d9e373f1;I;0.455;0.355;1050.0;0.372;0.138;0.0765;0.135;SHORT;2.30426125
b973577fbd9049748aaa8954e1b25049;F;0.475;;1450.0;0.57;0.167;0.118;0.187;SHORT;1.9556959999999999
3370b5259a6a43329605de87bcaad389;I;0.51;0.385;1450.0;0.7665;0.3985;0.14;0.1805;SHORT;1.88
c3a69a4575d54cfb854c8c10ffe02164;I;0.5;0.38;1550.0;0.6675;0.2745;0.156;0.18;SHORT;2.097344
584ed26d2a724c379af7a45a4e65cafa;F;0.705;0.545;1800.0;1.95;0.6075;0.3675;0.4645;TALL;2.52016875
9240c356540f4bf180f627974030fa6d;I;0.32;0.24;850.0000000000001;0.131;0.0615;0.0265;0.038;SHORT;0.96210675
59473ae6fe8b4562bb1d2a35f109fb87;I;0.235;0.16;400.0;0.048;0.0185;0.018;0.015;SHORT;0.9412959999999999
95cb58e3cb9c4c68bf034914ee730e54;I;0.44;0.355;1650.0;0.435;0.159;0.105;0.14;SHORT;2.255125
0056cfd241574ef8880e283d80231272;M;0.42;0.335;1150.0;0.369;0.171;0.071;0.12;SHORT;2.1252050000000002
3f4452aa96a4405a874b653b4af24d04;F;0.395;0.3;1050.0;0.3375;0.1435;0.0755;0.098;SHORT;2.0035012500000002
9a368a2b490b43dc90beb79f475a1027;;0.44;0.33;1350.0;0.522;0.17;0.0905;0.195;SHORT;2.24095125
a4ef61e0565b4fc492cd40b53fcc803a;F;0.675;0.525;1700.0000000000002;1.711;0.8365;0.352;0.475;TALL;2.396712
56ab4ee8b6744d7eab3dca05d2575fe1;I;0.33;0.26;850.0000000000001;0.1965;0.0915;0.0425;0.055;SHORT;0.99541875
75fbdb589d7748f185e0f8a13b90bc8b;I;0.36;0.27;950.0;0.2;0.073;0.056;0.061;SHORT;0.726272
fb7d2a31d65e4ebe93c0fd1d8ff92749;F;0.655;0.54;1750.0;1.85;0.7285;0.402;0.385;TALL;2.4498120000000005
231d0c5ed0344fcabd45b0b84ecf959b;I;0.37;0.275;950.0;0.257;0.1015;0.055;0.0825;SHORT;1.865125
421f2e720c974e008e5b34ff1cccb30b;F;0.6;0.465;1650.0;0.8875;0.309;0.246;0.262;SHORT;3.30258
f5931f3806604bcdbf0b550d92118fe7;I;0.45;;1100.0;0.4195;0.181;0.085;0.1345;SHORT;1.371675
c09418b51ba34bbaba0534789eeadf78;M;0.6;0.47;1750.0;1.105;0.4865;0.247;0.315;SHORT;3.305045
1c5c5bcbeaab49d0a1fa70884ab6aa26;I;0.465;0.36;1050.0;0.452;0.22;0.159;0.1035;SHORT;1.961124
2187ed53377742648065233a73b86413;I;0.545;0.375;1200.0;0.543;0.2375;0.1155;0.1725;SHORT;1.6750207500000003
8cbb04878c564273a816b0c62c0cba90;I;0.41;0.325;1000.0;0.394;0.208;0.0655;0.106;SHORT;2.07145125
feab3ccbb32441d09a6155eb7fb03fe1;I;0.435;0.33;1050.0;0.335;0.156;0.0555;0.105;SHORT;1.752321
974a50834a9447e8a42e0af96f0dd62a;F;0.555;0.44;1400.0000000000002;0.846;0.346;0.1715;0.2735;SHORT;2.9220612500000005
f6b6f26fc9f34b8f9c3bc8a4a79cafff;F;0.38;0.29;1050.0;0.257;0.099;0.051;0.085;SHORT;1.530404
381d79fc053649539a41a46bbfe09c04;I;0.385;0.29;900.0;0.2365;0.1;0.0505;0.076;SHORT;0.7751005
8f2c92458f4a4a38b9d81e3c7795d3d9;I;0.4;0.3;1150.0;0.318;0.1335;0.0725;0.0935;SHORT;1.6210250000000002
7de33d6a818942e6be68f4df632f81e8;F;0.655;0.545;1650.0;1.25;0.6555;0.299;0.513;TALL;2.977604
21e5d4792e114211856ae2c42703ca36;M;0.505;0.385;1050.0;0.5525;0.239;0.1245;0.1555;SHORT;1.0410005
395ecfe67c904c978dcd81e175ecd5b3;I;0.45;0.35;1200.0;0.468;0.2005;0.1065;0.1325;SHORT;1.845369
d519a0febd8142d8b5905d95a40092c5;M;0.455;0.355;1350.0;0.4745;0.1865;0.0935;0.168;SHORT;0.9274845
d72df07bb7fc4b3bbaf90579a8191adf;I;0.43;0.345;1150.0;0.4295;0.212;0.108;0.109;SHORT;1.324992
e104a08bde404cf681555a7a8b3f9af1;F;0.615;0.495;1650.0;1.198;0.5415;0.2865;0.3185;SHORT;3.4854112500000003
f0daa2b609534f2484c3c1b93b4e3699;F;0.67;0.525;1950.0;1.42;0.573;0.368;0.3905;SHORT;3.221696
c9980b5338bf4a59ad48eb9a4145c31f;F;0.57;0.45;1650.0;0.903;0.3305;0.1845;0.295;SHORT;2.416161
557119b6f81d4b61be158bc800045a9b;I;0.435;0.325;1000.0;0.366;0.174;0.0725;0.109;SHORT;2.20128125
2687a72680834d36b39c1eed845b42eb;I;0.35;0.265;800.0;0.2;0.09;0.042;0.06;SHORT;1.7588199999999998
6e2006911d5d48009c6402293d0cd3a9;F;0.72;0.56;1750.0;1.65;0.637;0.3415;0.525;TALL;4.18311125
44aa656dfdd84641acca9b03bc7b4055;M;0.445;0.34;1200.0;0.4475;0.193;0.1035;0.13;SHORT;2.27856125
45adac2a11bd42a3b96dddff9af7a879;M;0.47;;1300.0;0.5225;0.201;0.133;0.165;SHORT;2.4384449999999998
542bbd26f73b435c87c256bae1e89e85;F;0.55;0.43;1550.0;0.785;0.289;0.227;0.233;SHORT;1.2030580000000002
e286e11aa3a346479a42c5ea8d742b4f;M;0.69;0.54;1850.0;1.95;0.533;0.353;0.555;TALL;2.4438269999999997
44ba34dbb85943a9bac84aecc9feb93d;F;0.5;0.4;1250.0;0.5765;0.2395;0.126;0.185;SHORT;2.063504
88a88d51f07e42d5b9815e8ac3c97ca3;M;0.44;0.32;1200.0;0.4565;0.2435;0.092;0.1025;SHORT;0.896928
81a8419b9f374eb682a4741caf853899;F;0.535;0.42;1300.0;0.699;0.3125;0.1565;0.2035;SHORT;2.79746125
8ee734ae5174431094fdda3c92737b04;I;0.375;0.29;1400.0000000000002;0.3;0.14;0.0625;0.0825;SHORT;0.7578125
db281738162a4255b2309d683125da6b;I;0.485;0.365;1400.0000000000002;0.4475;0.1895;0.0925;0.2305;SHORT;1.974225
c79db9d4d5084cff82baa875aab55507;F;0.615;0.47;1550.0;1.084;0.5885;0.209;0.246;SHORT;1.317362
25a7d86686b144de95ceb02a3939a7b4;F;0.575;0.46;1500.0;0.927;0.333;0.207;0.2985;SHORT;2.471396
77e17860ce2640a5a175b7ec17549b6d;M;0.68;;1600.0;1.45;0.618;0.2625;0.325;SHORT;1.4978125000000002
5e8e54abf74140ee88b5d0f5ddeab6b3;F;0.575;;1550.0;1.116;0.509;0.238;0.34;SHORT;2.526576
04294d6397e840e3a7f3d0e86d47b518;F;0.585;0.435;1400.0000000000002;0.6955;0.3085;0.129;0.2245;SHORT;1.804923
4ac255334e4f48f2bddafaa7423f8b7c;M;0.325;0.24;750.0;0.155;0.0475;0.0355;0.06;SHORT;0.6525205000000001
7788843406c940fd89dd5c2740465538;M;0.645;0.5;1800.0;1.461;0.5985;0.2425;0.439;SHORT;2.11141875
0dbb5bdc5b094fb99e90d8527e6839cd;I;0.285;0.21;700.0000000000001;0.109;0.044;0.0265;0.033;SHORT;0.85710675
48a70b3be12d4a6eb02faf08fdeed576;F;0.62;0.47;2000.0;1.55;0.381;0.27;0.435;SHORT;1.58
940785cd80d34c818c0833a5c770fd70;M;0.57;0.46;1400.0000000000002;0.9535;0.4465;0.2065;0.245;SHORT;1.8379267499999998
83e3c4ab41114af28858469efa494172;M;0.595;0.485;1500.0;1.0835;0.5305;0.231;0.276;SHORT;2.593444
1b9b4d594c554588b38242f40587199f;I;0.255;0.19;700.0000000000001;0.0815;0.028;0.016;0.031;SHORT;1.2762799999999999
f84c1d0f3eaa4643969c6e473e491d4e;F;0.675;0.535;1600.0;1.41;0.592;0.3175;0.42;SHORT;3.87903125
a6f68bfd192b43b58ab401a1d71a1113;M;0.35;0.265;900.0;0.2265;0.0995;0.0575;0.065;SHORT;0.7066125
6dbbe900477a418aad8e460166490a95;M;0.61;0.475;1650.0;1.116;0.428;0.2205;0.315;SHORT;1.97586075
d0a21ffec2b14d358fcfe6a2af8a04e9;M;0.53;;1300.0;0.8425;0.275;0.1945;0.265;SHORT;2.271321
3556d3c1c47b4367be82018a4a5da0ae;I;0.435;0.3;1200.0;0.5965;0.259;0.139;0.1645;SHORT;2.271605
59a595c746544adcafb56366fc6b9b75;I;0.59;0.45;1250.0;0.86;0.437;0.1515;0.245;SHORT;3.06476125
9c891b9c2c5b4e4bb56a0c3a71a50f9f;I;0.395;0.29;950.0;0.319;0.138;0.08;0.082;SHORT;1.2042000000000002
a3b71752007b4857841f28c83f6bceb9;I;0.365;0.275;850.0000000000001;0.223;0.098;0.0375;0.075;SHORT;1.465625
aaa5a61522bd46a696ca845a89355d41;M;0.49;;1400.0000000000002;0.7605;0.245;0.167;0.185;SHORT;2.5894450000000004
da85868c2f2a40a78329f202fb364754;I;0.6;0.445;1750.0;1.057;0.383;0.216;0.355;SHORT;2.586624
1213d38aa6304e999c75093300ddce71;M;0.52;0.385;1400.0000000000002;0.6595;0.2485;0.2035;0.16;SHORT;2.8070612500000003
09bd908a9f734822b81128b4632258d2;F;0.73;0.555;1800.0;1.95;0.6555;0.1965;0.4935;TALL;2.30583675
6e4d259ed7ef48f09c9aa4e1b4c8fb2c;M;0.685;0.505;1900.0;1.533;0.667;0.4055;0.41;TALL;3.397721
87b174fabea24b2a9c3563fdb177ff34;F;0.5;0.39;1300.0;0.6355;0.2505;0.1635;0.195;SHORT;2.6336612500000003
e3c54d75fa61489384e874b4078f7aa3;M;0.5;;1350.0;0.7815;0.361;0.1575;0.2385;SHORT;1.0496125
dd40db6d994140c2b10061d6d01e0950;F;0.575;0.45;1200.0;0.9585;0.447;0.169;0.275;SHORT;1.207122
84e25ac91cb64868a7d5d86bd00549a8;I;0.45;0.33;1150.0;0.365;0.14;0.0825;0.1245;SHORT;2.28403125
18ff126d9bb240cda8760d4bbb544a04;M;0.575;0.455;1850.0;1.156;0.5525;0.243;0.295;SHORT;3.170245
5a7ff6eaf95d404982acd8059652b62c;M;0.55;;1350.0;0.879;0.368;0.2095;0.265;SHORT;2.9694512500000005
078e33269ac147a69b2dd20f1f85319e;M;0.645;0.5;1750.0;1.05;0.6735;0.3755;0.3775;TALL;3.93000125
efee5fce0979485ea23ca4d475e57681;F;0.37;0.28;1100.0;0.2305;0.0945;0.0465;0.075;SHORT;1.11648675
02b703bb7cf846ad9aca6444b629e544;;0.55;;1350.0;0.656;0.257;0.17;0.203;SHORT;1.1578000000000002
c9e676d8149c481d894480cc1c4a40cd;I;0.41;0.325;1050.0;0.361;0.1605;0.0665;0.103;SHORT;1.24326675
f7b8d5f710f9499490db488df508dd6c;M;0.625;0.49;1650.0;1.205;0.5175;0.3105;0.3465;SHORT;1.4428205
6445ba12604a409da95f80ed48e7e9cc;F;0.695;0.53;2000.0;2.0475;0.75;0.4195;0.6095;TALL;3.4839209999999996
8d6e445348014a0fae8c0e738eef1ec6;M;0.63;0.53;1800.0;1.95;0.618;0.256;0.315;SHORT;2.086608
0249c94f526442bf81e82e4d27457da1;M;0.55;0.435;1450.0;0.843;0.328;0.1915;0.255;SHORT;1.1733445
3e40308e96bd45de9a535c918d65bd00;M;0.58;0.46;1600.0;1.063;0.513;0.2705;0.2625;SHORT;1.9595107499999997
041e245208a14eb086dcea6f30f3f271;F;0.465;0.35;1150.0;0.421;0.1565;0.091;0.1345;SHORT;1.419843
29e2d42fbd204cea9712440683b6cd17;;0.65;0.495;1750.0;1.227;0.528;0.258;0.37;SHORT;2.149692
20e291407cef4e83830243ea3ffd4e81;M;0.5;0.4;1650.0;0.825;0.254;0.205;0.285;SHORT;2.7101249999999997
181c1d61c86542249381d4b093e68866;F;0.69;0.525;1900.0;1.492;0.6425;0.3905;0.42;SHORT;2.52747075
c172d591bb2b4e1382c8fa8349eff295;M;0.645;0.51;1600.0;1.33;0.6665;0.309;0.317;SHORT;3.702405
f3837fb4571d4124933f2de49138607a;F;0.37;0.275;850.0000000000001;0.2405;0.104;0.0535;0.07;SHORT;1.86431125
5ba8e99da2b3468b963a0a9ad49bfb5a;F;0.525;0.41;1500.0;0.708;0.274;0.151;0.25;SHORT;2.191204
af5bc1d8086446c1977c965232216221;I;0.415;0.325;1000.0;0.313;0.139;0.0625;0.0965;SHORT;1.675625
a32e391dc6044f0d9b83a151a790d993;F;0.66;0.53;1800.0;1.75;0.7765;0.302;0.401;TALL;2.253612
e9671f2b479b4772891f0cffecfc1b8c;I;0.29;0.21;700.0000000000001;0.1115;0.048;0.0205;0.03;SHORT;0.5808405
cbb5d14929454f2d9bec37ac581a37d1;I;0.395;0.32;1000.0;0.3075;0.149;0.0535;0.09;SHORT;1.5914490000000001
4e6a1022db25417aa6cbd932da50c8dd;I;0.33;0.255;950.0;0.172;0.066;0.0255;0.06;SHORT;0.6613005000000001
f4dd9496c79c49608cd502a0659689aa;I;0.305;0.225;900.0;0.1465;0.063;0.034;0.0415;SHORT;0.612312
8697c05b20fc41cda3a9e73a2ffd8d76;I;0.385;0.28;850.0000000000001;0.2175;0.097;0.038;0.067;SHORT;1.545776
9cce65f4a2f046a28ac29ca64a357958;F;0.645;0.52;2100.0;1.35;0.616;0.3655;0.474;TALL;1.5571805
016ff00b6d5e4b0e84e9c528e1643c95;F;0.635;0.525;1800.0;1.95;0.634;0.318;0.363;SHORT;1.472248
0b574469ce9b4d47b430b713427b6173;I;0.19;0.13;450.0;0.0265;0.009;0.005;0.009;SHORT;0.570075
358ac7ba9e9041608f08cbf0f1166d09;F;0.595;0.46;1600.0;0.921;0.4005;0.2025;0.2875;SHORT;2.544025
4a4874f5bd834140ad5285f5b6422d50;M;0.645;0.505;1850.0;1.463;0.592;0.3905;0.416;SHORT;3.9874512500000003
f7e3c71dd49647c5920301564b1f910d;M;0.69;0.515;1800.0;1.45;0.9815;0.4655;0.341;TALL;2.72007075
86d69ace718549db832b6ee7aed48c88;M;0.565;0.435;1850.0;1.032;0.354;0.2045;0.31;SHORT;3.03410125
c97ca7416ed946ffab23f9f7539fd39c;F;0.705;0.54;2050.0;1.757;0.8265;0.417;0.461;TALL;4.394444999999999
73693ec5a1d549efb9ca057a4710f799;M;0.63;0.485;1750.0;1.3;0.4335;0.2945;0.46;SHORT;2.866921
ab62a74b533940ea802c39f883b92825;I;0.45;0.355;1050.0;0.4445;0.197;0.093;0.1335;SHORT;1.375947
e3346e7436724e4d86f0050ab04c0422;F;0.575;0.475;1600.0;0.895;0.3605;0.221;0.271;SHORT;1.8715229999999998
e6de52241a8d4d2898fd39e288a1e713;F;0.635;0.505;1550.0;1.95;0.594;0.314;0.345;SHORT;3.66798
6015f11ba8c245f18488183d4199c5cd;M;0.155;0.115;250.0;0.024;0.009;0.005;0.0075;SHORT;0.6201
47ab7bb89520442ca9b94924c8d3297c;M;0.565;0.43;1300.0;0.784;0.3495;0.1885;0.213;SHORT;2.402129
9798e6c8fbb74d8d83570a715982efb9;M;0.575;;1600.0;0.839;0.4005;0.198;0.239;SHORT;1.842612
4542244b27d64f8f9c0731363f29a451;M;0.57;0.465;1250.0;0.849;0.3785;0.1765;0.24;SHORT;3.00576125
c4901990792d4c90b207b1815a711b59;I;0.495;;1250.0;0.6655;0.284;0.162;0.2;SHORT;2.084976
6b521dff58e84d1ba6724b2c22c70972;F;0.755;0.625;2100.0;2.505;1.65;0.513;0.6785;TALL;3.0545069999999996
1a2fe2ae5c5d4757960940e880c53b4e;F;0.74;0.575;2200.0;2.012;0.8915;0.5265;0.471;TALL;4.068809
982edb06c9df4bcc929acacc1ab39213;M;0.475;0.385;1450.0;0.6175;0.235;0.108;0.215;SHORT;0.973328
45bef0d4b9e841d38de9b3bb5fa81461;F;0.595;0.465;1500.0;1.0765;0.491;0.22;0.287;SHORT;3.2169999999999996
5046f8e2e7424d6bb3e4396ef3966ed8;F;0.705;0.57;1850.0;1.761;0.747;0.3725;0.488;TALL;3.375025
79519bf500484f3b861e71c2f5bdef9a;M;0.415;0.305;1000.0;0.325;0.156;0.0505;0.091;SHORT;1.6702009999999998
7b20c6f5fef2445a84946845d9f9d4dd;M;0.575;0.47;1650.0;0.853;0.292;0.179;0.35;SHORT;1.8211229999999998
638c6719c075434ea06688e31ab1e2e4;M;0.775;;2500.0;2.95;1.85;0.76;0.578;TALL;2.52
477fff7f990746f8a94207e897fc6ddb;F;0.655;0.515;1800.0;1.412;0.6195;0.2485;0.497;SHORT;2.867009
c5b6737dcd7b4a889f581b29787d4d79;F;0.515;0.4;1700.0000000000002;0.796;0.258;0.1755;0.28;SHORT;1.0916005
2c25ac9ddbcc4e10b8c629b1066f10a1;F;0.53;0.41;1650.0;0.8115;0.24;0.169;0.24;SHORT;2.2342440000000003
5ba49937b0be4578a39a4a6bd27e04e4;F;0.63;0.49;2250.0;1.336;0.6805;0.259;0.3245;SHORT;2.0912430000000004
c2a73c789ee6422eb33e6196ad7879ae;M;0.55;0.45;1300.0;0.92;0.378;0.2385;0.29;SHORT;3.0344112500000002
df815f7374a246bbb6415e2c45df5c7a;F;0.48;;1200.0;0.608;0.2705;0.1405;0.185;SHORT;1.998961
f8b1a50efb124153826fda9af8450869;F;0.725;0.6;2000.0;1.737;0.697;0.3585;0.595;TALL;2.5605667499999996
e055adaca77f4d1396ca5924557eef7c;I;0.13;0.095;350.00000000000006;0.0105;0.005;0.0065;0.0035;SHORT;0.2600845
f5bc07f720bc431b8fd04ce5ba662354;I;0.435;0.345;1200.0;0.4475;0.221;0.112;0.125;SHORT;1.790176
df034f5897fd4c599db921a96c0bd33d;F;0.615;0.525;1550.0;1.0385;0.427;0.2315;0.345;SHORT;1.3371845
8784f0a43d5445868e0f9d366ecf86c2;M;0.335;0.265;1050.0;0.222;0.0935;0.056;0.075;SHORT;1.6906800000000002
3e1c90b482db45faa83a1e3a40ab214d;M;0.725;0.575;2400.0;2.21;1.351;0.413;0.5015;TALL;2.6867069999999997
1794238d705549618ed15ae1f8b9a6c1;M;0.45;0.355;1150.0;0.479;0.2125;0.1045;0.15;SHORT;1.38276075
548d117da9ed45ceb7f5ce08ec2524a2;M;0.59;0.47;1350.0;1.1685;0.539;0.279;0.28;SHORT;2.003523
32351e1325b24ab09fc0883287f892a0;M;0.44;;800.0;0.413;0.144;0.1015;0.13;SHORT;1.801209
e92cf45e25b24b4bbc6291f59a291312;F;0.65;0.51;1850.0;1.375;0.531;0.384;0.3985;SHORT;3.189824
35e9a54bcac848e385c91bfdb9b12279;M;0.635;0.515;1600.0;1.75;0.5385;0.282;0.345;SHORT;2.8580959999999997
83d7e26b829d403390270a5c2f3ddd4d;I;0.35;0.265;850.0000000000001;0.1735;0.0775;0.034;0.056;SHORT;1.4046239999999999
4cf5ca0ae4924adbacf8ec8ae0fa4b0d;I;0.35;0.265;950.0;0.199;0.073;0.049;0.06;SHORT;1.7620049999999998
924affb2b2ca4b54b15e83f0eb5e6a2f;I;0.44;0.325;1000.0;0.4165;0.185;0.0865;0.11;SHORT;2.23741125
49006f97fdfa4cbd9e968dac60e8f299;I;0.48;0.39;1450.0;0.5825;0.2315;0.121;0.255;SHORT;0.989282
a9fef84ab3ed4f8281307b8ff0866355;I;0.525;0.4;1400.0000000000002;0.654;0.305;0.16;0.169;SHORT;1.18
66000b33ca4444a99d13b5df04051a00;M;0.5;0.375;1500.0;0.636;0.2535;0.145;0.19;SHORT;2.6051249999999997
f423054ea0af44088d7d17a296350a20;I;0.495;0.375;1150.0;0.507;0.241;0.103;0.15;SHORT;1.011218
31cc1c9910804ede8b54f5392384f405;F;0.64;0.5;1500.0;1.0705;0.371;0.2705;0.36;SHORT;2.13951075
ab59632042a4481e9525c7397c92bb93;F;0.6;0.48;1800.0;1.0645;0.4495;0.2455;0.325;SHORT;3.3013512499999997
978a81b6b0df4766ae3066a4afdba70e;M;0.5;0.4;1250.0;0.6725;0.336;0.12;0.1825;SHORT;1.0288
846e5abd1ff94b698b6659556609ef76;I;0.375;0.3;750.0;0.144;0.059;0.03;0.044;SHORT;1.8795000000000002
542b99e12ed44c02986daa02d7c1326e;M;0.6;0.47;1600.0;1.012;0.441;0.2015;0.305;SHORT;2.5624089999999997
61fd8de5e713436ea8779c92f49150e2;M;0.735;0.585;1850.0;2.124;0.952;0.55;0.5;TALL;2.075
22620bfe807c4081ba1ca21e691a663e;M;0.53;0.405;1300.0;0.738;0.2845;0.17;0.193;SHORT;2.45
b1fb9b65eb894b4ba6bc7593c8d63c3c;I;0.59;0.445;1350.0;0.7715;0.328;0.1745;0.23;SHORT;3.10225125
052f6150ab984712ad419b27ade82321;I;0.445;0.33;1100.0;0.358;0.1525;0.067;0.1185;SHORT;2.247445
7dd73339ba674fb38dd3fa7161c470d3;I;0.615;0.46;1900.0;1.066;0.4335;0.226;0.33;SHORT;1.9982280000000001
f8203fbd0cbb4088b1ac5654ed47ad10;M;0.525;0.41;1300.0;0.6875;0.3435;0.1495;0.1765;SHORT;2.189401
fdfcf036ed07494994298fcfc02ebb14;F;0.39;0.29;1250.0;0.3055;0.121;0.082;0.09;SHORT;1.586896
f334e8ea17034f2f88d86fd695c8a77c;M;0.555;;1750.0;0.874;0.3275;0.202;0.305;SHORT;1.787412
39b4765a1fd9498ca6cb70263cbbc37e;M;0.445;0.37;1250.0;0.515;0.2495;0.087;0.159;SHORT;0.905138
9017a2badfe34e73a17e0c72a35ff0da;I;0.37;0.275;1000.0;0.22;0.094;0.045;0.065;SHORT;0.74405
1fe907fc177748ffa9444d4fce9cf007;I;0.485;0.415;1400.0000000000002;0.5705;0.25;0.134;0.185;SHORT;1.005912
92f013215400417695c7c4c0563d1443;F;0.53;0.42;1700.0000000000002;0.828;0.41;0.208;0.1505;SHORT;2.293056
