id;f_10
06c00b1adc014eda9303f3462bc667c9;Phase-diagram and dynamics of Rydberg-dressed fermions in two-dimensions
06c1b57ae87c419687bfa6cca669b2ab;Design and Optimisation of the FlyFast Front-end for Attribute-based Coordination
06d8c7395c374d6f8a43a4f4a8cdbea8;An Exploratory Study of Field Failures
06e07f5a9f014bc5a056fdb13e110c9d;Quantum estimation of detection efficiency with no-knowledge quantum feedback
06e295b96c184d74ae03db032cc9a4fe;Learning latent structure of large random graphs
06e92a72d08f4bd6b0a14b51d70691e8;Deep Learning Scaling is Predictable, Empirically
06ed188f28ce4830aad4568138d2aa1e;Robust Kronecker-Decomposable Component Analysis for Low-Rank Modeling
06ffe8729a7841c2b856e2f1626e2815;Modeling Relational Data with Graph Convolutional Networks
07089efebb9b49bb8397a3818a30016b;Quadratic automaton algebras and intermediate growth
070e09b7fcb747f2860bbc9d38111cd2;Birecurrent sets
0713b84e0f4646b1b009792b501b6625;Fundamental groups, slalom curves and extremal length
07309e641bcd4115a5699bacb506be43;Hardware-Aware Machine Learning: Modeling and Optimization
0734acbc961a4671ba908f8d332c5ff2;
073aecbb65694be2be2fa9bde79ee90e;FPGA-Based CNN Inference Accelerator Synthesized from Multi-Threaded C Software
0741c17f29924aada867e59c88fb91cc;Evaluating the hot hand phenomenon using predictive memory selection for multistep Markov Chains: LeBron James' error correcting free throws
0744ca17230d4cbc8dd4936bff08c82d;NeST: A Neural Network Synthesis Tool Based on a Grow-and-Prune Paradigm
0744dc5924d441fd869f4163e610d801;Indoor Frame Recovery from Refined Line Segments
07614c94e95a47878dd7b4f30d9adc85;
077b70a36a244bff9e9c5aa383d3ccda;The Saga of KPR: Theoretical and Experimental developments
078e33269ac147a69b2dd20f1f85319e;
07a48abfaad540e18e2ecfec7ad0fd87;Fastest Convergence for Q-learning
07b1d7a8107e4f39bb39998b75e96bac;A note on MLE of covariance matrix
07b2988f370b49b491aab843e05fe3cf;Reconfigurable cluster state generation in specially poled nonlinear waveguide arrays
07bc7e12f0f54d7b9879c9362a542ff9;On $(σ,δ)$-skew McCoy modules
07e5a766106948ba8739cd2bbb7cff03;
07e91ac89f814d2bbe880dcc2c7dc403;X-ray Transform and Boundary Rigidity for Asymptotically Hyperbolic Manifolds
080501744ab04f288068b1def56acf90;Generalized Robust Bayesian Committee Machine for Large-scale Gaussian Process Regression
081829b95d1547cf9577e082a2da5a5d;Justifications in Constraint Handling Rules for Logical Retraction in Dynamic Algorithms
08374e8466444cecbf65ac1e68c551ff;Monotonicity patterns and functional inequalities for classical and generalized Wright functions
0843955e3735477486c30718cbfc1b7f;Accounting for Uncertainty About Past Values In Probabilistic Projections of the Total Fertility Rate for All Countries
084ce9223f814481b0a1dddcd29e35b0;Predicting Demographics, Moral Foundations, and Human Values from Digital Behaviors
0850691fef03433a8389d93912ff9873;Perceptual Compressive Sensing based on Contrast Sensitivity Function: Can we avoid non-visible redundancies acquisition?
08585d7d38594b3ba8213a12c46773c2;Adversarial Discriminative Sim-to-real Transfer of Visuo-motor Policies
0860ee30b8ce4e139d97ddd83250a9f7;Joint Modeling of Event Sequence and Time Series with Attentional Twin Recurrent Neural Networks
0869a52928d44620990d6df8515b55f9;Estimation of the marginal expected shortfall under asymptotic independence
086ea5a3da924f359cee03070ddd856b;Mapping Walls of Indoor Environment using RGB-D Sensor
0879d47e7596449da73b1e13b7d6ffc3;Extended Vertical Lists for Temporal Pattern Mining from Multivariate Time Series
0881ff42bba64b199bbdf643f9a9af1b;Metrics for Formal Structures, with an Application to Kripke Models and their Dynamics
08adced5b6dc4fb7803e6df003246257;The Genus-One Global Mirror Theorem for the Quintic Threefold
08b19eb4fd57452f80c48526e42f557f;
08b2328dfcb945f5825e2e24da3fd2e2;Characterizing the 2016 Russian IRA Influence Campaign
08c0889e76014c1188aa5b4c412419c9;Fourier Multipliers on the Heisenberg groups revisited
08cdad425c2b43a3ba80975e9eb56c80;Only Bayes should learn a manifold (on the estimation of differential geometric structure from data)
08cfb6465c2f45d89378efbe5eaa8cdc;
08e3131ac5864800975f524969ecd072;Positive scalar curvature and connected sums
08e92e22c89d490caf989d7ca2c9b855;On Gallai's and Hajós' Conjectures for graphs with treewidth at most 3
08ea4bbdd1ae45faa916bd72ccc3f9de;
08f08e5a349e4069b5f85472f10edc52;Revisiting Activation Regularization for Language RNNs
08f4acea3cc04061a3bc9f63f41e13bd;Spatio-temporal variations in the urban rhythm: the travelling waves of crime
090e016f1e774d918c2bf48b26abf2d7;
09210e187f074ffaaffe90e7c987f334;Model Learning for Look-ahead Exploration in Continuous Control
093fc91888ce4a96a175bec1802f4648;Nonlinear Modal Decoupling Based Power System Transient Stability Analysis
096a3728653d45d38dcb79bf08939638;Asymptotic Independence of Bivariate Order Statistics
0987a7dd4c2d47c480c82aa805636ebf;Online Learning for Changing Environments using Coin Betting
098ca137e8e345bbb18a931e72018456;Comparative Investigation of the High Pressure Autoignition of the Butanol Isomers
09add47637674f2181ae914e87a4e631;
09bd908a9f734822b81128b4632258d2;A Software-equivalent SNN Hardware using RRAM-array for Asynchronous Real-time Learning
09bda59d9dc8461cab1d75005e61f09d;Feature Engineering for Predictive Modeling using Reinforcement Learning
09c440a46d2e43f88e2a4e8d9cf94d8e;Deterministic Genericity for Polynomial Ideals
09c69703912541638cbbc6f45cc76a66;Reducing asynchrony to synchronized rounds
09ce6126cee8479e9fce88823822ed8f;Robust and Scalable Power System State Estimation via Composite Optimization
09efb76880a04b2290a9e7383733fd48;Enduring Lagrangian coherence of a Loop Current ring assessed using independent observations
09f39b1e47b04a34a9c9f14d1fce8b77;Heavy-Tailed Analogues of the Covariance Matrix for ICA
0a0cba4ff5a647799c8a94f4a9e8b961;A short note on the order of the Zhang-Liu matrices over arbitrary fields
0a10dd9329f141769321b576780575a4;Rethinking Split Manufacturing: An Information-Theoretic Approach with Secure Layout Techniques
0a160e5606864787b67ed9776f3c553c;Analogies Explained: Towards Understanding Word Embeddings
0a2de2b5102c495d9101fa9be6a16512;Trajectories and orbital angular momentum of necklace beams in nonlinear colloidal suspensions
0a2e1dfd48074989aaaac265e5c77edc;Sparse Inverse Covariance Estimation for Chordal Structures
0a7d41bfa4794a3b9407b6e3ef99bde5;A Review of Dynamic Network Models with Latent Variables
0a9d05091a8945e9b1b8906a73424262;RCD: Rapid Close to Deadline Scheduling for Datacenter Networks
0aca20f6e50546ac818ae28154715f3b;Kidnapping Model: An Extension of Selten's Game
0ad2c68140734533997b97105938e05c;Learned Optimizers that Scale and Generalize
0af78c9850c14ec493066fd64dfc86e7;Multichannel Attention Network for Analyzing Visual Behavior in Public Speaking
0b0798f65cfc4aa2b63fea1573bf62a4;Lensing and the Warm Hot Intergalactic Medium
0b2bd367f89a4b1bab37e1ea881136d3;Concordances from differences of torus knots to $L$-space knots
0b413080fe39424cbc828c4b9907312e;Don't Panic! Better, Fewer, Syntax Errors for LR Parsers
0b417668cfa94fe1aa9dc9540c28e586;An Overview of Robust Subspace Recovery
0b574469ce9b4d47b430b713427b6173;Structure-aware error bounds for linear classification with the zero-one loss
0b690f752dd6441190df7b465ffee131;Uniform $L^p$-improving for weighted averages on curves
0b79f7b9bd0c4810a1f947267fe72291;
0b8d3411e38845ba95bd431793f6cae5;Local Synchronization of Sampled-Data Systems on Lie Groups
0ba7afce3d6d4c9d8e892f5dcfc39365;Topics and Label Propagation: Best of Both Worlds for Weakly Supervised Text Classification
0beaa86c0ad8418ebc5aad7bb688753b;Task-Driven Convolutional Recurrent Models of the Visual System
0bfe0e8f52d4481f822e1981953e0fed;
0c0fcb877ed34669b05d565dd21ae4ec;Ranking Recovery from Limited Comparisons using Low-Rank Matrix Completion
0c4e5b4e1856432190475ce292be0596;Accurate and Efficient Profile Matching in Knowledge Bases
0c5f85f2c9df4ea78fd78dd5b7ebff40;
0c616504888649f38c7b8da40aedf931;I-MMSE relations in random linear estimation and a sub-extensive interpolation method
0c679d633f2a45f3b8f0149b7e869a5a;Analysing the Potential of BLE to Support Dynamic Broadcasting Scenarios
0c93a554bcc9458fbb08d3989e099132;Semantic Annotation for Microblog Topics Using Wikipedia Temporal Information
0ccc87c6c1b249da8284ce9ebe67b21b;
0ccf3cbf9eb04b7cadf42c68eb20d335;Robust and Efficient Parametric Spectral Estimation in Atomic Force Microscopy
0cd5e7a301c84702b21fc0e8aaf29392;Analytical and simulation studies of pedestrian flow at a crossing with random update rule
0cf980ced343438482f7321a848b61ac;Coordination of multi-agent systems via asynchronous cloud communication
0d05c8685a00456ab8d3ee8f62757fc0;Lock-Free Parallel Perceptron for Graph-based Dependency Parsing
0d1ee657d50544cc8f7f69e11993d651;Multi-parameter One-Sided Monitoring Test
0d2d0aebb7de4f069e8465b09307a690;
0d45c22ec20e41b2aaf24b80235dacc5;LCDet: Low-Complexity Fully-Convolutional Neural Networks for Object Detection in Embedded Systems
0d593ff685e44569a134a6b665acc08e;Bots sustain and inflate striking opposition in online social systems
0d8706b5e0b847d5b334b5d05c6b1123;Algebras of Quasi-Plücker Coordinates are Koszul
0d95531d690f4fc3b439cf0a3775ec1a;One-dimensional model of chiral fermions with Feshbach resonant interactions
0d9665a5cc6747a0b20162f2d65c6b33;Overlapping community detection using superior seed set selection in social networks
0db34269e0614a3f93b6144420b94276;FLASH: Randomized Algorithms Accelerated over CPU-GPU for Ultra-High Dimensional Similarity Search
0db5eb4214ef466194062c5183a98e00;
0db8cfd5f99149079515e11e67dcdcf3;On the n-th row of the graded Betti table of an n-dimensional toric variety
0dbb5bdc5b094fb99e90d8527e6839cd;Sample, computation vs storage tradeoffs for classification using tensor subspace models
0df4b7f2ff6c4117aede9e4d92342b6b;Degenerations of NURBS curves while all of weights approaching infinity
0dfc8f943c91400dac8c33f1a5fa7250;A Converse to Banach's Fixed Point Theorem and its CLS Completeness
0dfdba9ea2e3476ca9f00bc1c4efeb8a;An extensible cluster-graph taxonomy for open set sound scene analysis
0e4ac097343e41fe9bf274e75fa4add6;SPIRou Input Catalog: Activity, Rotation and Magnetic Field of Cool Dwarfs
0e556cd6538842a6aae99356d0945e2f;Multiscale Information Decomposition: Exact Computation for Multivariate Gaussian Processes
0e6695f49e3f45aa92a10b5dce98cec4;Maximum likelihood estimators based on the block maxima method
0e7d65588005446a89fc7254025b9fad;Active set algorithms for estimating shape-constrained density ratios
0e8ddcde087f4e2d85247b024a5cae84;Targeted Learning with Daily EHR Data
0ea3173e5d844e93ad8481031ef814f1;Computable geometric complex analysis and complex dynamics
0ea4b8a1bc744cea99355ff908bb3b2c;Concrete Autoencoders for Differentiable Feature Selection and Reconstruction
0ea67e46d8b44b4e8c8ec3916ef8983e;Robust Gesture-Based Communication for Underwater Human-Robot Interaction in the context of Search and Rescue Diver Missions
0eadcc3e89364b259754829da809053c;Discovery and usage of joint attention in images
0eb6b2f5d114460bbbff219c86ec5154;
0ebb87d5c2e548b59888f006d7ca7b90;Regularity of Kleinian limit sets and Patterson-Sullivan measures
0ec06b26d34a474d95e65ca2bcc02116;Generalized Coordinated Transaction Scheduling: A Market Approach to Seamless Interfaces
0ed76feb92ca462abcbd4c656deb8e69;Ranking with Adaptive Neighbors
0eedee9f01264f29b2074018c41809b1;Matrix-Based Characterization of the Motion and Wrench Uncertainties in Robotic Manipulators
0ef149feb7504755aec0482538843bfc;On a Novel Speech Representation Using Multitapered Modified Group Delay Function
0ef4d2d25afe4470852511e35e83a9f8;Complexity of the Regularized Newton Method
0f0d91be158742ccb4f3f413182577e1;Contextual Explanation Networks
0f13fd27f08e40eb964e78cf38e54bb7;On Store Languages of Language Acceptors
0f33021a7af6443f97487b03a8809dc6;Deep Spatio-temporal Manifold Network for Action Recognition
0f6b56b0a135415487d2cd6b2e18e3af;Unifying the Brascamp-Lieb Inequality and the Entropy Power Inequality
0f7481e013be4fa9a261557a381bc49c;On Measuring and Quantifying Performance: Error Rates, Surrogate Loss, and an Example in SSL
0f9f054fae5f4481a2515239a762a23c;Stochastic Activation Pruning for Robust Adversarial Defense
0fa2e06f98a146349ab5cfb63447a176;"On the relation between dependency distance, crossing dependencies, and parsing. Comment on ""Dependency distance: a new perspective on syntactic patterns in natural languages"" by Haitao Liu et al"
0fd5555cd702452a83bae29a9622691c;Variational characterization of H^p
0fdcce73062248a18b9602fe70d806cc;Listen to Your Face: Inferring Facial Action Units from Audio Channel
0ff3357649ca44fe8670473a0c3e82bd;A Macdonald refined topological vertex
0ffa6a83b0ab4330a24f2dfc65dd8d1b;Visual Speech Language Models
0ffd2515ddd54bbc9fc95d1291a40731;Rigidity of square-tiled interval exchange transformations
102d01512dff4a948b6c992664b540f5;Fixed-Rank Approximation of a Positive-Semidefinite Matrix from Streaming Data
10420a24dd234b9cb2ba8595ab8fdbc8;
104e525f4d134a5f9e7d700c8f566836;Personalized advice for enhancing well-being using automated impulse response analysis --- AIRA
107167b73c4c4284b91ffd64d9e0b8ef;The Dynamics of Norm Change in the Cultural Evolution of Language
109fb377c95c4e88b8176d6cf720cf28;
10a21265eac44b268fc2d9b47e1d4bb7;HotFlip: White-Box Adversarial Examples for Text Classification
10abbc1c71634bb1b38ffd112702c5f9;Morphometric analysis in gamma-ray astronomy using Minkowski functionals: II. Joint structure quantification
10acc0e81b2e4688807cb9abffabd30a;Second-order and local characteristics of network intensity functions
10b1792ef14d4742bb013809ba72c054;An optimal unrestricted learning procedure
10c9525d8b104558929396a358be0ba7;Matrix Scaling and Balancing via Box Constrained Newton's Method and Interior Point Methods
10cbca88e6ab46328a6c155fb4e49d14;The formation of the Milky Way halo and its dwarf satellites, a NLTE-1D abundance analysis. I. Homogeneous set of atmospheric parameters
10ce26b1ec3b493a8e7eabb42b6e918b;Introduction to Delay Models and Their Wave Solutions
10d119b831b84f45a725fe526355a315;Two-step approach to scheduling quantum circuits
10dd6314e65a41acb2712ceaf16cef43;Posterior distribution existence and error control in Banach spaces in the Bayesian approach to UQ in inverse problems
10de5db7a91741498f76434ee52da7df;Behaviour of electron content in the ionospheric D-region during solar X-ray flares
10e4e2bf69b847bb926e5abe9eebc901;TURN TAP: Temporal Unit Regression Network for Temporal Action Proposals
10e68941c9574392a4c5f18d55f1f7cd;On h-Lexicalized Restarting Automata
10fccc4239d94b349ad0e9bfea79f4b3;Universal Constraints on the Location of Extrema of Eigenfunctions of Non-Local Schrödinger Operators
10fe046620664232a7e1ebf6485e1086;Crime Prediction by Data-Driven Green's Function method
1110bcff0aac4947be141e51a185a03f;Sparse Named Entity Classification using Factorization Machines
11627f6a7f0b40fca34667cea8055d7d;A Constrained Conditional Likelihood Approach for Estimating the Means of Selected Populations
116b3878cade4a4a80ec5506cbdff485;How to model fake news
118b2062079c4ff0b1e1c6b39c617d13;
118f0768e6b346f583db5a7f856bddc3;Unified description of dynamics of a repulsive two-component Fermi gas
1190704e4427482b9a1873809ccc1ef2;Discovering Eastern European PCs by hacking them. Today
11a4b4e63e8f46a1b6bc5c6419e8b665;Categories for Dynamic Epistemic Logic
11afa206bb0d4018b8dc60be8cc810d5;Discriminant analysis in small and large dimensions
11b23c0ec7894bb09eff0f9e157d9e87;Large Scale Constrained Linear Regression Revisited: Faster Algorithms via Preconditioning
11bd5bf2e0bf4682b15ff75c5b6e9e69;
12039466a6b249a380b105bbf412d9b4;Small and Strong Formulations for Unions of Convex Sets from the Cayley Embedding
12049369dc15428782c176d12753858f;VLocNet++: Deep Multitask Learning for Semantic Visual Localization and Odometry
12065bd0cdcd450d9054167409dcce3d;Compressed sensing with sparse corruptions: Fault-tolerant sparse collocation approximations
1213d38aa6304e999c75093300ddce71;CANAL: A Cache Timing Analysis Framework via LLVM Transformation
1247fbded1c843fb979a013e2922f204;Finding Influential Training Samples for Gradient Boosted Decision Trees
126211afd31744a28bd7571ae0b00334;Light curves of hydrogen-poor Superluminous Supernovae from the Palomar Transient Factory
12747a33eecb41edb9f4ad606c047838;Calibrated Projection in MATLAB: Users' Manual
1282331163164b308fdf3305c41372c4;
128d79a486db4db5b36ce1589c6fda9b;TRAMP: Tracking by a Real-time AMbisonic-based Particle filter
12a90ceea8164f8da4055410657954ad;Adaptive Stochastic Dual Coordinate Ascent for Conditional Random Fields
